open;close;high;low;value;volume;begin;end
306.23;308.22;308.87;306.21;5112444401.6;16616810;2024-05-07 00:00:00;2024-05-07 23:59:59
308.41;311.21;311.83;308.08;10529373347.6;33881400;2024-05-08 00:00:00;2024-05-08 23:59:59
311.5;313.49;313.5;311.31;5230529723.5;16715650;2024-05-10 00:00:00;2024-05-10 23:59:59
314.1;314.85;315.7;314.04;6839146524.5;21712460;2024-05-13 00:00:00;2024-05-13 23:59:59
315.0;318.12;318.41;313.58;11154192130.2;35247320;2024-05-14 00:00:00;2024-05-14 23:59:59
318.2;319.7;320.16;317.7;9056860789.1;28351820;2024-05-15 00:00:00;2024-05-15 23:59:59
320.0;322.91;322.91;320.0;8952630927.5;27847220;2024-05-16 00:00:00;2024-05-16 23:59:59
322.96;323.16;323.5;320.02;7859033926.8;24398590;2024-05-17 00:00:00;2024-05-17 23:59:59
324.0;321.08;324.85;318.94;11817360016.0;36736790;2024-05-20 00:00:00;2024-05-20 23:59:59
320.88;320.64;322.23;318.0;10876485461.1;34019460;2024-05-21 00:00:00;2024-05-21 23:59:59
320.8;322.93;323.1;320.8;6011980649.9;18651840;2024-05-22 00:00:00;2024-05-22 23:59:59
322.8;323.54;324.0;321.23;5768287058.1;17865490;2024-05-23 00:00:00;2024-05-23 23:59:59
323.83;321.0;324.48;319.78;8554310667.2;26594700;2024-05-24 00:00:00;2024-05-24 23:59:59
321.01;317.09;321.95;315.5;14541663957.6;45712960;2024-05-27 00:00:00;2024-05-27 23:59:59
317.5;318.22;320.9;315.82;9627673836.0;30187790;2024-05-28 00:00:00;2024-05-28 23:59:59
318.25;320.38;320.4;315.92;7313974807.4;22989260;2024-05-29 00:00:00;2024-05-29 23:59:59
320.91;316.63;321.55;316.0;8605178038.5;27005390;2024-05-30 00:00:00;2024-05-30 23:59:59
316.0;313.11;318.49;309.8;15479042373.3;49206450;2024-05-31 00:00:00;2024-05-31 23:59:59
313.5;310.95;315.5;305.0;19130763055.2;61860770;2024-06-03 00:00:00;2024-06-03 23:59:59
310.98;316.49;316.5;308.8;10346962905.5;33070240;2024-06-04 00:00:00;2024-06-04 23:59:59
316.63;314.72;318.28;313.85;8793190541.6;27792110;2024-06-05 00:00:00;2024-06-05 23:59:59
314.7;313.08;316.45;311.15;8883619041.5;28328920;2024-06-06 00:00:00;2024-06-06 23:59:59
313.8;319.9;320.64;312.73;14157276798.3;44484260;2024-06-07 00:00:00;2024-06-07 23:59:59
320.8;317.28;321.98;315.21;8400530697.5;26344630;2024-06-10 00:00:00;2024-06-10 23:59:59
317.5;317.8;319.84;315.88;6377952742.9;20064950;2024-06-11 00:00:00;2024-06-11 23:59:59
305.7;317.71;317.82;304.14;12977584451.7;41281520;2024-06-13 00:00:00;2024-06-13 23:59:59
317.8;319.35;320.7;316.2;6849866414.7;21488970;2024-06-14 00:00:00;2024-06-14 23:59:59
320.0;317.65;320.45;316.85;4932076583.1;15476190;2024-06-17 00:00:00;2024-06-17 23:59:59
317.65;314.34;318.0;313.02;6947091443.3;22024090;2024-06-18 00:00:00;2024-06-18 23:59:59
314.38;310.7;314.78;307.51;13105247559.5;42183660;2024-06-19 00:00:00;2024-06-19 23:59:59
310.7;314.15;314.72;306.02;22616269152.5;72789950;2024-06-20 00:00:00;2024-06-20 23:59:59
315.0;314.14;316.0;312.6;9152147994.0;29116600;2024-06-21 00:00:00;2024-06-21 23:59:59
314.7;317.25;319.0;314.14;9387538945.4;29607080;2024-06-24 00:00:00;2024-06-24 23:59:59
317.5;319.8;319.89;316.28;8270536250.9;25978180;2024-06-25 00:00:00;2024-06-25 23:59:59
320.1;324.55;324.56;319.8;13721465556.5;42491110;2024-06-26 00:00:00;2024-06-26 23:59:59
324.8;327.16;327.83;322.63;15221129798.9;46771370;2024-06-27 00:00:00;2024-06-27 23:59:59
327.87;327.15;329.3;325.8;13250355870.2;40451800;2024-06-28 00:00:00;2024-06-28 23:59:59
327.64;327.1;329.0;326.25;10396387155.0;31710510;2024-07-01 00:00:00;2024-07-01 23:59:59
327.35;328.37;328.87;326.82;6941082279.2;21155650;2024-07-02 00:00:00;2024-07-02 23:59:59
328.58;328.2;330.45;327.0;10584686930.8;32156700;2024-07-03 00:00:00;2024-07-03 23:59:59
328.39;324.66;329.57;323.81;13317132561.5;40766110;2024-07-04 00:00:00;2024-07-04 23:59:59
324.71;325.0;327.0;321.01;13096717923.0;40433010;2024-07-05 00:00:00;2024-07-05 23:59:59
325.76;324.07;327.44;323.74;9025370831.1;27756900;2024-07-08 00:00:00;2024-07-08 23:59:59
324.3;319.99;325.33;317.5;17436610896.9;54199810;2024-07-09 00:00:00;2024-07-09 23:59:59
319.0;316.68;320.3;314.3;28065530252.0;88512550;2024-07-10 00:00:00;2024-07-10 23:59:59
289.96;295.87;296.98;285.22;48738315678.7;168030600;2024-07-11 00:00:00;2024-07-11 23:59:59
296.0;292.21;297.48;290.97;14669454270.5;49999170;2024-07-12 00:00:00;2024-07-12 23:59:59
293.0;284.38;293.86;283.5;16923746968.1;58737560;2024-07-15 00:00:00;2024-07-15 23:59:59
284.49;285.25;285.69;276.7;23286385147.6;82870860;2024-07-16 00:00:00;2024-07-16 23:59:59
285.84;284.68;289.96;283.23;12284503604.5;42824670;2024-07-17 00:00:00;2024-07-17 23:59:59
284.68;289.83;289.99;282.73;9784301935.1;34090360;2024-07-18 00:00:00;2024-07-18 23:59:59
290.67;289.9;292.58;289.2;9026251889.6;31022060;2024-07-19 00:00:00;2024-07-19 23:59:59
291.0;294.71;294.95;291.0;9779002585.2;33386610;2024-07-22 00:00:00;2024-07-22 23:59:59
295.47;294.39;295.48;293.36;6529116896.2;22190840;2024-07-23 00:00:00;2024-07-23 23:59:59
294.39;295.69;296.67;293.2;7263003449.2;24565710;2024-07-24 00:00:00;2024-07-24 23:59:59
295.69;296.37;297.3;294.2;6768216500.8;22868740;2024-07-25 00:00:00;2024-07-25 23:59:59
296.4;293.3;300.0;292.67;25147137351.5;84909830;2024-07-26 00:00:00;2024-07-26 23:59:59
293.0;286.58;293.0;286.0;15134258844.7;52445850;2024-07-29 00:00:00;2024-07-29 23:59:59
286.5;290.0;291.99;284.32;12290569982.7;42572480;2024-07-30 00:00:00;2024-07-30 23:59:59
290.47;289.3;291.2;288.01;7524943880.7;25974520;2024-07-31 00:00:00;2024-07-31 23:59:59
289.87;287.21;290.69;287.04;5391099058.0;18646450;2024-08-01 00:00:00;2024-08-01 23:59:59
287.21;286.04;287.99;284.37;8601524731.8;30086580;2024-08-02 00:00:00;2024-08-02 23:59:59
282.79;275.49;283.46;275.17;22871130952.3;82141460;2024-08-05 00:00:00;2024-08-05 23:59:59
277.01;279.4;281.16;276.35;12169833605.6;43600150;2024-08-06 00:00:00;2024-08-06 23:59:59
280.0;282.2;283.27;277.21;13599338250.0;48494490;2024-08-07 00:00:00;2024-08-07 23:59:59
283.4;281.09;285.42;280.0;12008636097.6;42425830;2024-08-08 00:00:00;2024-08-08 23:59:59
281.0;281.44;282.67;279.62;6275073796.0;22302730;2024-08-09 00:00:00;2024-08-09 23:59:59
280.01;280.74;281.5;278.03;7768907946.4;27767330;2024-08-12 00:00:00;2024-08-12 23:59:59
281.05;283.92;284.33;280.42;6791087827.3;24058790;2024-08-13 00:00:00;2024-08-13 23:59:59
284.3;280.32;284.7;280.12;6148973531.0;21757040;2024-08-14 00:00:00;2024-08-14 23:59:59
280.5;278.01;280.85;276.73;7984061069.2;28665290;2024-08-15 00:00:00;2024-08-15 23:59:59
278.05;274.6;279.0;274.32;7255848404.4;26195850;2024-08-16 00:00:00;2024-08-16 23:59:59
275.0;268.17;275.56;265.02;18530524836.8;68626200;2024-08-19 00:00:00;2024-08-19 23:59:59
268.35;266.2;269.49;263.36;14489552806.6;54276130;2024-08-20 00:00:00;2024-08-20 23:59:59
266.2;266.93;267.8;263.86;9866186881.8;37127480;2024-08-21 00:00:00;2024-08-21 23:59:59
266.93;261.6;268.5;260.15;12655851217.7;47907530;2024-08-22 00:00:00;2024-08-22 23:59:59
261.61;259.5;262.8;255.56;19878279030.4;76719180;2024-08-23 00:00:00;2024-08-23 23:59:59
263.55;265.39;266.95;261.54;13205967280.5;49974250;2024-08-26 00:00:00;2024-08-26 23:59:59
265.83;260.5;266.07;259.82;8495741636.8;32345170;2024-08-27 00:00:00;2024-08-27 23:59:59
259.9;262.47;262.47;254.99;12416454599.4;47867970;2024-08-28 00:00:00;2024-08-28 23:59:59
262.58;260.31;264.19;258.36;9085153605.5;34802250;2024-08-29 00:00:00;2024-08-29 23:59:59
260.5;254.45;261.8;254.0;11826212287.4;46118490;2024-08-30 00:00:00;2024-08-30 23:59:59
254.03;244.31;254.2;242.65;24225650310.2;97662430;2024-09-02 00:00:00;2024-09-02 23:59:59
244.4;244.04;250.0;240.01;25885880197.1;105673360;2024-09-03 00:00:00;2024-09-03 23:59:59
244.51;253.01;253.5;242.8;17536502500.4;70652080;2024-09-04 00:00:00;2024-09-04 23:59:59
255.0;252.82;258.17;251.11;20008156071.4;78616830;2024-09-05 00:00:00;2024-09-05 23:59:59
253.01;254.77;255.35;250.31;10455174955.5;41336330;2024-09-06 00:00:00;2024-09-06 23:59:59
256.32;263.31;263.45;255.3;17203253856.9;66128940;2024-09-09 00:00:00;2024-09-09 23:59:59
264.61;261.29;264.61;258.7;15137344244.0;57937830;2024-09-10 00:00:00;2024-09-10 23:59:59
260.31;258.2;262.0;257.5;9961674795.0;38293710;2024-09-11 00:00:00;2024-09-11 23:59:59
257.8;254.93;258.68;252.85;11841477728.8;46358080;2024-09-12 00:00:00;2024-09-12 23:59:59
255.19;258.25;259.92;248.75;28260374145.3;111180360;2024-09-13 00:00:00;2024-09-13 23:59:59
259.64;263.79;264.37;257.8;13789541715.2;52643180;2024-09-16 00:00:00;2024-09-16 23:59:59
264.12;265.99;267.0;260.55;15202488870.0;57565620;2024-09-17 00:00:00;2024-09-17 23:59:59
265.73;263.4;267.99;263.15;11523855679.3;43376640;2024-09-18 00:00:00;2024-09-18 23:59:59
263.94;264.5;266.19;262.32;9440735658.1;35683170;2024-09-19 00:00:00;2024-09-19 23:59:59
264.52;269.08;269.21;264.5;10346363727.7;38767000;2024-09-20 00:00:00;2024-09-20 23:59:59
269.3;273.17;273.8;269.3;13432987817.1;49396850;2024-09-23 00:00:00;2024-09-23 23:59:59
273.9;272.92;273.94;270.5;10076908612.0;36984140;2024-09-24 00:00:00;2024-09-24 23:59:59
272.92;267.8;273.8;267.3;11862922074.2;43803870;2024-09-25 00:00:00;2024-09-25 23:59:59
267.54;267.88;269.76;265.41;8524972559.0;31888540;2024-09-26 00:00:00;2024-09-26 23:59:59
268.9;268.07;269.7;267.17;5073287299.4;18889430;2024-09-27 00:00:00;2024-09-27 23:59:59
269.26;268.49;272.33;268.14;11510452992.3;42519740;2024-09-30 00:00:00;2024-09-30 23:59:59
267.6;266.29;268.68;264.0;13875642502.8;52125800;2024-10-01 00:00:00;2024-10-01 23:59:59
266.01;259.31;268.0;258.52;12233584613.0;46519200;2024-10-02 00:00:00;2024-10-02 23:59:59
259.31;264.25;264.49;257.2;14759403716.9;56534560;2024-10-03 00:00:00;2024-10-03 23:59:59
264.96;264.09;265.44;262.11;6861324907.4;25992290;2024-10-04 00:00:00;2024-10-04 23:59:59
264.25;263.39;267.0;261.37;7618217009.6;28940600;2024-10-07 00:00:00;2024-10-07 23:59:59
263.0;262.4;263.8;261.89;4248218099.7;16163780;2024-10-08 00:00:00;2024-10-08 23:59:59
262.42;260.86;263.8;259.59;6531053134.9;25021350;2024-10-09 00:00:00;2024-10-09 23:59:59
260.88;259.98;261.64;258.91;4598989252.9;17677230;2024-10-10 00:00:00;2024-10-10 23:59:59
259.8;256.94;260.07;256.8;6408762717.8;24848580;2024-10-11 00:00:00;2024-10-11 23:59:59
256.15;261.28;263.91;254.1;16646352622.2;64205680;2024-10-14 00:00:00;2024-10-14 23:59:59
260.94;262.03;263.7;259.84;6879583803.8;26247370;2024-10-15 00:00:00;2024-10-15 23:59:59
262.05;259.5;264.72;258.45;10504935123.6;40206260;2024-10-16 00:00:00;2024-10-16 23:59:59
259.5;256.57;260.45;256.03;6366640213.7;24658790;2024-10-17 00:00:00;2024-10-17 23:59:59
256.21;257.19;258.9;254.41;7693100993.4;30020250;2024-10-18 00:00:00;2024-10-18 23:59:59
257.3;258.21;259.85;256.78;5547686295.3;21471680;2024-10-21 00:00:00;2024-10-21 23:59:59
258.1;255.42;258.8;255.25;4381858399.4;17064680;2024-10-22 00:00:00;2024-10-22 23:59:59
255.1;252.01;255.9;251.34;7718228941.6;30420950;2024-10-23 00:00:00;2024-10-23 23:59:59
252.01;252.64;254.27;250.25;7245386056.0;28764370;2024-10-24 00:00:00;2024-10-24 23:59:59
252.72;246.35;255.35;245.7;20126043138.8;80587930;2024-10-25 00:00:00;2024-10-25 23:59:59
245.02;242.56;249.0;241.61;17652871569.7;71940990;2024-10-28 00:00:00;2024-10-28 23:59:59
243.2;242.66;244.6;239.88;11430089075.7;47134580;2024-10-29 00:00:00;2024-10-29 23:59:59
242.7;241.45;246.22;241.11;9721006737.9;39826840;2024-10-30 00:00:00;2024-10-30 23:59:59
241.4;237.9;242.8;236.23;13737746155.2;57274130;2024-10-31 00:00:00;2024-10-31 23:59:59
237.9;238.03;239.1;234.57;11441541301.6;48370770;2024-11-01 00:00:00;2024-11-01 23:59:59
237.9;238.97;240.0;237.71;3558577653.7;14895450;2024-11-02 00:00:00;2024-11-02 23:59:59
239.6;239.23;241.2;238.07;6757011275.8;28172270;2024-11-05 00:00:00;2024-11-05 23:59:59
247.0;243.6;248.56;242.05;19402189406.5;78965200;2024-11-06 00:00:00;2024-11-06 23:59:59
243.26;250.93;251.0;242.16;10948449973.3;44425190;2024-11-07 00:00:00;2024-11-07 23:59:59
251.5;255.98;255.99;250.5;14677974806.8;58086370;2024-11-08 00:00:00;2024-11-08 23:59:59
257.99;260.73;261.3;256.49;17578684699.6;67847940;2024-11-11 00:00:00;2024-11-11 23:59:59
259.99;255.77;260.7;255.27;10539814448.5;40926850;2024-11-12 00:00:00;2024-11-12 23:59:59
255.29;254.7;258.96;254.05;11439153914.4;44540020;2024-11-13 00:00:00;2024-11-13 23:59:59
254.26;249.52;255.92;248.6;12366776262.5;49011750;2024-11-14 00:00:00;2024-11-14 23:59:59
249.31;253.43;254.43;248.05;11113484983.2;44201700;2024-11-15 00:00:00;2024-11-15 23:59:59
249.0;248.72;251.94;247.3;12859671851.2;51559910;2024-11-18 00:00:00;2024-11-18 23:59:59
249.03;240.59;249.83;239.62;18395321114.9;75474680;2024-11-19 00:00:00;2024-11-19 23:59:59
241.82;237.05;243.59;234.74;16837071934.3;70349830;2024-11-20 00:00:00;2024-11-20 23:59:59
237.15;240.47;240.94;234.0;17757313155.9;75143570;2024-11-21 00:00:00;2024-11-21 23:59:59
240.5;236.0;241.0;234.78;10836393146.5;45621420;2024-11-22 00:00:00;2024-11-22 23:59:59
236.0;227.81;237.1;227.25;17727272699.1;76469770;2024-11-25 00:00:00;2024-11-25 23:59:59
227.8;223.16;231.9;221.2;21854770442.0;96795030;2024-11-26 00:00:00;2024-11-26 23:59:59
223.9;226.3;226.47;219.2;25043210046.8;112457620;2024-11-27 00:00:00;2024-11-27 23:59:59
227.0;228.56;229.5;222.48;15359712601.0;67840700;2024-11-28 00:00:00;2024-11-28 23:59:59
228.48;236.49;236.99;227.55;16387603634.6;70303900;2024-11-29 00:00:00;2024-11-29 23:59:59
237.02;235.17;238.7;234.32;10677792835.0;45142250;2024-12-02 00:00:00;2024-12-02 23:59:59
235.29;230.8;235.97;230.26;10536715774.0;45322870;2024-12-03 00:00:00;2024-12-03 23:59:59
231.0;224.55;233.79;224.3;16617122007.6;72417390;2024-12-04 00:00:00;2024-12-04 23:59:59
224.57;233.48;233.75;222.82;19851593351.8;86989140;2024-12-05 00:00:00;2024-12-05 23:59:59
233.63;237.84;238.25;231.52;19088098358.7;81096070;2024-12-06 00:00:00;2024-12-06 23:59:59
239.29;237.29;240.51;236.75;12526394065.3;52493640;2024-12-09 00:00:00;2024-12-09 23:59:59
238.0;230.82;238.01;230.65;13710391986.5;58740230;2024-12-10 00:00:00;2024-12-10 23:59:59
230.5;234.19;234.39;229.22;15026987712.0;64914300;2024-12-11 00:00:00;2024-12-11 23:59:59
234.0;229.02;235.95;228.52;13748238586.9;59171170;2024-12-12 00:00:00;2024-12-12 23:59:59
228.9;228.7;231.33;227.85;10570497704.4;46124660;2024-12-13 00:00:00;2024-12-13 23:59:59
228.62;225.53;229.05;224.38;12350005599.1;54593280;2024-12-16 00:00:00;2024-12-16 23:59:59
225.6;226.5;227.49;223.72;10353636763.7;45885470;2024-12-17 00:00:00;2024-12-17 23:59:59
